iteration,fitness,value
1,0.00039605717055435363,0.00009888410568237305
2,0.00039605717055435363,0.00009888410568237305
3,0.00039605717055435363,0.00009888410568237305
4,0.00039605717055435363,0.00009888410568237305
5,0.00039605717055435363,0.00009888410568237305
6,0.00039605717055435363,0.00009888410568237305
7,0.00039605717055435363,0.00009888410568237305
8,0.00039605717055435363,0.00009888410568237305
9,0.000037496000166559185,0.000009372830390930176
10,0.000037496000166559185,0.000009372830390930176
11,0.000037496000166559185,0.000009372830390930176
12,0.000037496000166559185,0.000009372830390930176
13,0.000037496000166559185,0.000009372830390930176
14,0.000037496000166559185,0.000009372830390930176
15,0.000035588187599522314,-0.00000889599323272705
16,0.000035588187599522314,-0.00000889599323272705
17,0.000016839255887468596,0.000004209578037261963
18,0.000016839255887468596,0.000004209578037261963
19,0.000016839255887468596,0.000004209578037261963
20,0.000016839255887468596,0.000004209578037261963
21,0.000016839255887468596,0.000004209578037261963
22,0.000016839255887468596,0.000004209578037261963
23,0.000016839255887468596,0.000004209578037261963
24,0.000016839255887468596,0.000004209578037261963
25,0.000016839255887468596,0.000004209578037261963
26,0.000016839255887468596,0.000004209578037261963
27,0.000016839255887468596,0.000004209578037261963
28,0.000016839255887468596,0.000004209578037261963
29,0.000016839255887468596,0.000004209578037261963
30,0.000016839255887468596,0.000004209578037261963
31,0.000016839255887468596,0.000004209578037261963
32,0.000016839255887468596,0.000004209578037261963
33,0.000016839255887468596,0.000004209578037261963
34,0.000016839255887468596,0.000004209578037261963
35,0.000016839255887468596,0.000004209578037261963
36,0.000016839255887468596,0.000004209578037261963
37,0.000016839255887468596,0.000004209578037261963
38,0.000016839255887468596,0.000004209578037261963
39,0.000016839255887468596,0.000004209578037261963
40,0.000016839255887468596,0.000004209578037261963
41,0.000007979783759548553,-0.000001994892954826355
42,0.000007979783759548553,-0.000001994892954826355
43,0.000007979783759548553,-0.000001994892954826355
44,0.000007979783759548553,-0.000001994892954826355
45,0.000007979783759548553,-0.000001994892954826355
46,0.000007979783759548553,-0.000001994892954826355
47,0.000007979783759548553,-0.000001994892954826355
48,0.000007979783759548553,-0.000001994892954826355
49,0.000007979783759548553,-0.000001994892954826355
50,0.000007979783759548553,-0.000001994892954826355
